dish_id,calories,weight,protein,fat,carbs,img_path
dish_1564686855,1030.160645,435.0,52.116467,85.930336,56.845505,imagery/realsense_overhead/dish_1564686855/rgb.png
dish_1565119669,55.965,229.0,1.0305,10.842,3.2725,imagery/realsense_overhead/dish_1565119669/rgb.png
dish_1566417516,385.402527,425.0,36.516472,23.505039,33.699574,imagery/realsense_overhead/dish_1566417516/rgb.png
dish_1558724031,358.710999,303.0,25.801001,25.789999,14.067,imagery/realsense_overhead/dish_1558724031/rgb.png
dish_1558637393,739.968018,128.0,63.360001,29.056,28.672001,imagery/realsense_overhead/dish_1558637393/rgb.png
dish_1563393217,49.230003,228.0,0.467667,9.802668,2.865667,imagery/realsense_overhead/dish_1563393217/rgb.png
dish_1562789268,569.511536,350.0,22.733551,64.756828,32.585655,imagery/realsense_overhead/dish_1562789268/rgb.png
dish_1559700851,61.089886,54.0,5.827236,1.897059,1.151647,imagery/realsense_overhead/dish_1559700851/rgb.png
dish_1561492204,488.636322,334.0,15.686282,49.120712,37.193401,imagery/realsense_overhead/dish_1561492204/rgb.png
dish_1567613057,406.68631,749.0,4.968488,45.862511,40.6982,imagery/realsense_overhead/dish_1567613057/rgb.png
dish_1563996485,178.039185,201.0,11.607642,16.567097,4.172902,imagery/realsense_overhead/dish_1563996485/rgb.png
dish_1564761488,327.986023,336.0,8.358,40.558998,21.735001,imagery/realsense_overhead/dish_1564761488/rgb.png
dish_1559239151,9.2,40.0,0.16,1.44,1.16,imagery/realsense_overhead/dish_1559239151/rgb.png
dish_1559678330,169.694122,150.0,16.186766,5.269608,3.199019,imagery/realsense_overhead/dish_1559678330/rgb.png
dish_1563998210,148.089218,91.0,4.958992,2.163187,22.614895,imagery/realsense_overhead/dish_1563998210/rgb.png
dish_1565033110,47.599998,147.0,0.588,9.355,3.418,imagery/realsense_overhead/dish_1565033110/rgb.png
dish_1564428444,157.001038,277.0,10.32739,14.948835,4.712034,imagery/realsense_overhead/dish_1564428444/rgb.png
dish_1558459115,271.540009,298.0,10.487999,43.459003,6.616,imagery/realsense_overhead/dish_1558459115/rgb.png
dish_1558723777,74.360001,143.0,0.286,20.02,0.429,imagery/realsense_overhead/dish_1558723777/rgb.png
dish_1558721757,768.873047,133.0,65.834999,30.191,29.792002,imagery/realsense_overhead/dish_1558721757/rgb.png
dish_1564777960,331.007507,147.0,16.715342,16.270294,26.4312,imagery/realsense_overhead/dish_1564777960/rgb.png
dish_1558376306,372.167999,108.0,29.484001,4.536,20.844,imagery/realsense_overhead/dish_1558376306/rgb.png
dish_1558114086,74.360001,143.0,0.286,0.429,20.02,imagery/realsense_overhead/dish_1558114086/rgb.png
dish_1558720236,887.823059,407.0,66.440002,60.460999,31.913002,imagery/realsense_overhead/dish_1558720236/rgb.png
dish_1563468269,129.01001,302.0,0.56,32.762001,1.768,imagery/realsense_overhead/dish_1563468269/rgb.png
dish_1558380557,699.320068,212.0,54.440002,24.960001,32.732002,imagery/realsense_overhead/dish_1558380557/rgb.png
dish_1558637769,80.079994,154.0,0.308,21.559999,0.462,imagery/realsense_overhead/dish_1558637769/rgb.png
dish_1558724959,581.441956,426.0,36.466,57.004002,21.298,imagery/realsense_overhead/dish_1558724959/rgb.png
dish_1558115867,132.962997,23.0,11.385,5.221,5.152,imagery/realsense_overhead/dish_1558115867/rgb.png
dish_1561580370,126.795876,124.0,4.96353,16.20141,5.41,imagery/realsense_overhead/dish_1561580370/rgb.png
dish_1562618000,685.993896,448.0,36.103981,30.821442,59.159676,imagery/realsense_overhead/dish_1562618000/rgb.png
dish_1561061658,226.000137,227.0,12.284481,24.678637,8.949248,imagery/realsense_overhead/dish_1561061658/rgb.png
dish_1559838402,222.759506,233.0,3.797,43.154999,5.249,imagery/realsense_overhead/dish_1559838402/rgb.png
dish_1564686832,829.737549,392.0,39.732468,64.516342,54.179504,imagery/realsense_overhead/dish_1564686832/rgb.png
dish_1561753238,298.034393,333.0,13.71139,14.026631,28.881098,imagery/realsense_overhead/dish_1561753238/rgb.png
dish_1566938026,450.576294,219.0,17.546904,37.536308,33.509502,imagery/realsense_overhead/dish_1566938026/rgb.png
dish_1562617703,179.630005,110.0,6.49,26.950001,4.51,imagery/realsense_overhead/dish_1562617703/rgb.png
dish_1559751801,451.635986,343.0,22.040001,32.778,29.228001,imagery/realsense_overhead/dish_1559751801/rgb.png
dish_1558457530,16.0,64.0,0.192,3.2,1.152,imagery/realsense_overhead/dish_1558457530/rgb.png
dish_1558723449,74.360001,143.0,0.286,20.02,0.429,imagery/realsense_overhead/dish_1558723449/rgb.png
dish_1567628157,373.190979,355.0,36.018696,25.867041,37.479683,imagery/realsense_overhead/dish_1567628157/rgb.png
dish_1566502505,454.517365,275.0,22.45969,33.146801,31.874937,imagery/realsense_overhead/dish_1566502505/rgb.png
dish_1565728415,194.42775,80.0,8.405299,16.724396,12.005533,imagery/realsense_overhead/dish_1565728415/rgb.png
dish_1565383026,171.559998,287.0,14.031,12.198999,3.695,imagery/realsense_overhead/dish_1565383026/rgb.png
dish_1558642089,39.360001,96.0,0.192,9.6,0.864,imagery/realsense_overhead/dish_1558642089/rgb.png
dish_1566849923,127.970001,240.0,7.515,16.214001,2.093,imagery/realsense_overhead/dish_1566849923/rgb.png
dish_1562959732,374.663696,232.0,14.678156,31.110981,28.858997,imagery/realsense_overhead/dish_1562959732/rgb.png
dish_1560368972,196.840424,107.0,8.696033,13.621221,14.67344,imagery/realsense_overhead/dish_1560368972/rgb.png
dish_1561576590,29.231468,101.0,1.295191,3.387423,0.896671,imagery/realsense_overhead/dish_1561576590/rgb.png
dish_1558723866,14.75,59.0,0.177,2.95,1.062,imagery/realsense_overhead/dish_1558723866/rgb.png
dish_1564778030,504.417786,283.0,31.904985,23.514265,30.773952,imagery/realsense_overhead/dish_1564778030/rgb.png
dish_1561392512,42.75,75.0,0.225,10.5,0.525,imagery/realsense_overhead/dish_1561392512/rgb.png
dish_1564675118,177.188782,238.0,4.080829,34.125175,2.032732,imagery/realsense_overhead/dish_1564675118/rgb.png
dish_1566838407,358.947601,558.0,9.825659,62.420345,9.731463,imagery/realsense_overhead/dish_1566838407/rgb.png
dish_1559319860,70.330002,13.0,5.46,0.182,4.81,imagery/realsense_overhead/dish_1559319860/rgb.png
dish_1559242568,116.116005,203.0,0.203,30.855999,0.812,imagery/realsense_overhead/dish_1559242568/rgb.png
dish_1563824339,85.339996,175.0,4.087,12.075,2.098,imagery/realsense_overhead/dish_1563824339/rgb.png
dish_1559846099,206.938995,114.0,14.642001,15.712999,7.688,imagery/realsense_overhead/dish_1559846099/rgb.png
dish_1562873155,41.33675,79.0,2.052025,5.39175,1.38645,imagery/realsense_overhead/dish_1562873155/rgb.png
dish_1562094621,10.54,34.0,0.034,2.38,0.612,imagery/realsense_overhead/dish_1562094621/rgb.png
dish_1563900150,202.2966,154.0,12.745122,10.284879,10.978048,imagery/realsense_overhead/dish_1563900150/rgb.png
dish_1562086702,178.529999,33.0,13.86,0.462,12.21,imagery/realsense_overhead/dish_1562086702/rgb.png
dish_1561662458,124.815498,119.0,4.855837,21.055183,3.202388,imagery/realsense_overhead/dish_1561662458/rgb.png
dish_1558720364,73.839996,142.0,0.284,19.879999,0.426,imagery/realsense_overhead/dish_1558720364/rgb.png
dish_1559845290,66.220001,86.0,0.086,14.62,1.72,imagery/realsense_overhead/dish_1559845290/rgb.png
dish_1559844506,98.959999,180.0,0.459,25.1,1.312,imagery/realsense_overhead/dish_1559844506/rgb.png
dish_1560360055,362.734009,180.0,27.786999,4.154,22.556999,imagery/realsense_overhead/dish_1560360055/rgb.png
dish_1567106825,220.200867,104.0,16.905151,3.357732,13.460875,imagery/realsense_overhead/dish_1567106825/rgb.png
dish_1562099053,98.382996,37.0,3.478,12.395,4.144,imagery/realsense_overhead/dish_1562099053/rgb.png
dish_1566849327,551.702026,362.0,31.255999,14.87,55.122002,imagery/realsense_overhead/dish_1566849327/rgb.png
dish_1560527191,663.989319,318.0,45.395912,28.933577,34.38044,imagery/realsense_overhead/dish_1560527191/rgb.png
dish_1563898786,420.928467,344.0,31.47023,11.427504,23.636036,imagery/realsense_overhead/dish_1563898786/rgb.png
dish_1560973958,145.313232,121.0,6.214187,20.729744,4.312272,imagery/realsense_overhead/dish_1560973958/rgb.png
dish_1558546663,330.734009,197.0,22.108002,30.264,10.601,imagery/realsense_overhead/dish_1558546663/rgb.png
dish_1563206582,229.248688,320.0,4.417208,16.967773,26.033964,imagery/realsense_overhead/dish_1563206582/rgb.png
dish_1565207815,40.848213,80.0,1.023567,7.094023,2.678475,imagery/realsense_overhead/dish_1565207815/rgb.png
dish_1568305257,837.147766,420.0,65.496887,9.31325,52.072983,imagery/realsense_overhead/dish_1568305257/rgb.png
dish_1568314823,144.0,90.0,13.500001,8.1,1.8,imagery/realsense_overhead/dish_1568314823/rgb.png
dish_1565119464,504.065033,223.0,23.109737,44.41399,28.041883,imagery/realsense_overhead/dish_1565119464/rgb.png
dish_1565725047,77.659996,110.0,4.84,9.372,0.946,imagery/realsense_overhead/dish_1565725047/rgb.png
dish_1559841163,357.043518,335.0,18.222002,27.539,21.153002,imagery/realsense_overhead/dish_1559841163/rgb.png
dish_1563568338,631.706665,371.0,29.600521,57.599113,38.704674,imagery/realsense_overhead/dish_1563568338/rgb.png
dish_1563468299,210.350006,385.0,4.129,35.584,10.898,imagery/realsense_overhead/dish_1563468299/rgb.png
dish_1558027001,20.400002,68.0,0.068,5.168,0.408,imagery/realsense_overhead/dish_1558027001/rgb.png
dish_1565033265,1324.084961,625.0,106.343002,19.202002,76.664001,imagery/realsense_overhead/dish_1565033265/rgb.png
dish_1563475921,244.343323,348.0,6.723852,27.165054,19.799664,imagery/realsense_overhead/dish_1563475921/rgb.png
dish_1561665024,100.570984,121.0,6.984664,8.948565,2.141329,imagery/realsense_overhead/dish_1561665024/rgb.png
dish_1563813308,224.982895,76.0,16.446194,3.901661,15.332276,imagery/realsense_overhead/dish_1563813308/rgb.png
dish_1561062555,47.093922,32.0,3.147569,4.405365,1.027732,imagery/realsense_overhead/dish_1561062555/rgb.png
dish_1558723414,51.988998,49.0,1.176,10.78,1.519,imagery/realsense_overhead/dish_1558723414/rgb.png
dish_1562691674,376.976868,435.0,11.33825,42.573318,26.482393,imagery/realsense_overhead/dish_1562691674/rgb.png
dish_1566591080,909.629578,549.0,43.513371,19.378721,103.567314,imagery/realsense_overhead/dish_1566591080/rgb.png
dish_1562602860,165.182281,258.0,5.622155,20.834251,10.206213,imagery/realsense_overhead/dish_1562602860/rgb.png
dish_1561739954,276.119995,225.0,16.059999,16.556,15.39,imagery/realsense_overhead/dish_1561739954/rgb.png
dish_1558638983,59.416,56.0,1.344,12.32,1.736,imagery/realsense_overhead/dish_1558638983/rgb.png
dish_1558631825,118.832001,112.0,2.688,24.639999,3.472,imagery/realsense_overhead/dish_1558631825/rgb.png
dish_1564689108,203.66246,159.0,15.866496,13.156699,4.929469,imagery/realsense_overhead/dish_1564689108/rgb.png
dish_1563216440,403.786346,352.0,6.472354,39.857891,44.691349,imagery/realsense_overhead/dish_1563216440/rgb.png
dish_1559240908,60.16,128.0,0.128,15.36,1.152,imagery/realsense_overhead/dish_1559240908/rgb.png
dish_1559235815,352.39502,268.0,16.284,31.334002,19.628799,imagery/realsense_overhead/dish_1559235815/rgb.png
dish_1565640272,377.820007,405.0,13.907999,49.740002,16.559999,imagery/realsense_overhead/dish_1565640272/rgb.png
dish_1565898158,240.425751,194.0,10.293161,10.249402,25.324493,imagery/realsense_overhead/dish_1565898158/rgb.png
dish_1565022062,234.606583,366.0,2.846122,30.903877,19.271049,imagery/realsense_overhead/dish_1565022062/rgb.png
dish_1558719994,768.873047,133.0,65.834999,30.191,29.792002,imagery/realsense_overhead/dish_1558719994/rgb.png
dish_1562960520,422.399261,303.0,19.659971,31.715603,29.545202,imagery/realsense_overhead/dish_1562960520/rgb.png
dish_1560441270,24.540001,46.0,0.063,5.304,0.835,imagery/realsense_overhead/dish_1560441270/rgb.png
dish_1563389199,390.254456,284.0,8.273479,70.210716,16.497627,imagery/realsense_overhead/dish_1563389199/rgb.png
dish_1566488928,103.048294,147.0,2.219561,19.982441,1.327024,imagery/realsense_overhead/dish_1566488928/rgb.png
dish_1558031302,56.98,74.0,0.074,12.58,1.48,imagery/realsense_overhead/dish_1558031302/rgb.png
dish_1558723926,19.26,107.0,0.214,4.173,0.963,imagery/realsense_overhead/dish_1558723926/rgb.png
dish_1563392128,169.934235,162.0,18.81292,6.487778,21.133221,imagery/realsense_overhead/dish_1563392128/rgb.png
dish_1560368464,349.449951,275.0,18.062435,16.807095,29.051191,imagery/realsense_overhead/dish_1560368464/rgb.png
dish_1562958563,130.839996,68.0,9.767,2.686,8.158,imagery/realsense_overhead/dish_1562958563/rgb.png
dish_1561579617,130.172348,304.0,4.552824,21.115883,4.427353,imagery/realsense_overhead/dish_1561579617/rgb.png
dish_1566333167,344.544495,140.0,14.501362,31.633934,20.294445,imagery/realsense_overhead/dish_1566333167/rgb.png
dish_1565033139,193.649994,274.0,14.177,17.355999,4.434,imagery/realsense_overhead/dish_1565033139/rgb.png
dish_1563551194,471.643555,400.0,14.045855,57.670921,27.842804,imagery/realsense_overhead/dish_1563551194/rgb.png
dish_1563464480,229.490005,213.0,10.918,25.838001,8.302,imagery/realsense_overhead/dish_1563464480/rgb.png
dish_1567020054,122.001411,145.0,11.540041,7.937456,14.210079,imagery/realsense_overhead/dish_1567020054/rgb.png
dish_1568649387,163.858185,192.0,5.302399,28.488777,2.512788,imagery/realsense_overhead/dish_1568649387/rgb.png
dish_1565370004,570.884766,370.0,41.655426,11.23975,36.877651,imagery/realsense_overhead/dish_1565370004/rgb.png
dish_1566499633,161.386429,139.0,14.183504,8.426495,3.023964,imagery/realsense_overhead/dish_1566499633/rgb.png
dish_1559849412,352.641022,61.0,30.195,13.847,13.664001,imagery/realsense_overhead/dish_1559849412/rgb.png
dish_1558719336,24.25,97.0,0.291,4.85,1.746,imagery/realsense_overhead/dish_1558719336/rgb.png
dish_1562602657,610.365173,236.0,44.069649,31.015892,24.324261,imagery/realsense_overhead/dish_1562602657/rgb.png
dish_1558116201,313.585999,91.0,24.843,3.822,17.563,imagery/realsense_overhead/dish_1558116201/rgb.png
dish_1559668314,551.546021,300.0,38.153999,32.832001,21.035,imagery/realsense_overhead/dish_1559668314/rgb.png
dish_1557861697,13.144,53.0,0.106,3.127,0.53,imagery/realsense_overhead/dish_1557861697/rgb.png
dish_1558721484,11.160001,62.0,0.124,2.418,0.558,imagery/realsense_overhead/dish_1558721484/rgb.png
dish_1565379251,32.936092,67.0,0.792689,6.608891,0.59528,imagery/realsense_overhead/dish_1565379251/rgb.png
dish_1563306392,477.465118,288.0,13.979971,5.710499,77.775475,imagery/realsense_overhead/dish_1563306392/rgb.png
dish_1559843335,25.410002,77.0,0.231,6.16,0.539,imagery/realsense_overhead/dish_1559843335/rgb.png
dish_1558549214,239.190002,361.0,0.722,53.875004,5.712,imagery/realsense_overhead/dish_1558549214/rgb.png
dish_1562775488,91.239998,145.0,0.158,12.433001,8.56,imagery/realsense_overhead/dish_1562775488/rgb.png
dish_1562787956,26.84,61.0,1.281,2.623,1.952,imagery/realsense_overhead/dish_1562787956/rgb.png
dish_1562775212,92.480003,136.0,1.904,16.32,3.264,imagery/realsense_overhead/dish_1562775212/rgb.png
dish_1560801773,13.5,54.0,0.162,2.7,0.972,imagery/realsense_overhead/dish_1560801773/rgb.png
dish_1559238435,115.544006,202.0,0.202,30.703999,0.808,imagery/realsense_overhead/dish_1559238435/rgb.png
dish_1568061202,256.551605,334.0,7.670484,39.151718,9.440392,imagery/realsense_overhead/dish_1568061202/rgb.png
dish_1560445069,94.527,243.0,0.243,22.112999,1.215,imagery/realsense_overhead/dish_1560445069/rgb.png
dish_1563900172,236.636597,255.0,12.947122,18.36488,11.786048,imagery/realsense_overhead/dish_1563900172/rgb.png
dish_1562785132,211.542679,192.0,24.6008,10.392798,28.955555,imagery/realsense_overhead/dish_1562785132/rgb.png
dish_1565383097,479.248993,430.0,25.929001,13.332999,50.022999,imagery/realsense_overhead/dish_1565383097/rgb.png
dish_1559233102,183.520004,124.0,13.64,1.984,12.400001,imagery/realsense_overhead/dish_1559233102/rgb.png
dish_1560357427,93.749001,241.0,0.241,21.931,1.205,imagery/realsense_overhead/dish_1560357427/rgb.png
dish_1568401261,530.393372,443.0,26.350721,34.582966,39.131962,imagery/realsense_overhead/dish_1568401261/rgb.png
dish_1558031628,31.280001,92.0,0.184,7.36,0.736,imagery/realsense_overhead/dish_1558031628/rgb.png
dish_1558029148,38.880001,108.0,0.108,9.72,0.54,imagery/realsense_overhead/dish_1558029148/rgb.png
dish_1558461431,1.15,5.0,0.02,0.18,0.145,imagery/realsense_overhead/dish_1558461431/rgb.png
dish_1562790824,437.071686,368.0,49.829514,19.273878,49.859921,imagery/realsense_overhead/dish_1562790824/rgb.png
dish_1558718610,113.527,107.0,2.568,23.539999,3.317,imagery/realsense_overhead/dish_1558718610/rgb.png
dish_1562959129,412.873596,293.0,22.177427,47.374996,24.672005,imagery/realsense_overhead/dish_1562959129/rgb.png
dish_1560975517,42.389999,99.0,1.858,4.608,3.064,imagery/realsense_overhead/dish_1560975517/rgb.png
dish_1558641075,12.42,69.0,0.138,2.691,0.621,imagery/realsense_overhead/dish_1558641075/rgb.png
dish_1560455158,69.12085,55.0,5.892522,3.531324,1.433316,imagery/realsense_overhead/dish_1560455158/rgb.png
dish_1565972715,657.545837,510.0,46.845226,15.662046,43.166805,imagery/realsense_overhead/dish_1565972715/rgb.png
dish_1558639787,24.75,99.0,0.297,4.95,1.782,imagery/realsense_overhead/dish_1558639787/rgb.png
dish_1560203424,451.753998,138.0,22.271999,50.211998,14.587999,imagery/realsense_overhead/dish_1560203424/rgb.png
dish_1558724912,30.75,75.0,0.15,7.5,0.675,imagery/realsense_overhead/dish_1558724912/rgb.png
dish_1563913675,282.693146,228.0,12.514251,31.848915,12.170398,imagery/realsense_overhead/dish_1563913675/rgb.png
dish_1561753075,945.670715,668.0,47.436813,46.316841,82.687485,imagery/realsense_overhead/dish_1561753075/rgb.png
dish_1559244305,113.066399,64.0,7.04521,9.832837,3.483331,imagery/realsense_overhead/dish_1559244305/rgb.png
dish_1561577573,755.432922,346.0,40.638695,24.98456,66.063805,imagery/realsense_overhead/dish_1561577573/rgb.png
dish_1563550614,132.824387,205.0,1.753415,11.551586,15.085366,imagery/realsense_overhead/dish_1563550614/rgb.png
dish_1565204891,302.886444,314.0,9.08052,40.929695,16.297201,imagery/realsense_overhead/dish_1565204891/rgb.png
dish_1558115011,115.620003,20.0,9.9,4.54,4.48,imagery/realsense_overhead/dish_1558115011/rgb.png
dish_1562776497,291.832458,292.0,13.205418,32.771591,11.634132,imagery/realsense_overhead/dish_1562776497/rgb.png
dish_1559675234,36.970001,120.0,0.271,8.135,2.075,imagery/realsense_overhead/dish_1559675234/rgb.png
dish_1565638323,467.824677,274.0,20.744896,29.2488,38.302158,imagery/realsense_overhead/dish_1565638323/rgb.png
dish_1561405836,82.429001,31.0,2.914,10.385,3.472,imagery/realsense_overhead/dish_1561405836/rgb.png
dish_1562169818,346.819672,275.0,22.768761,16.997473,19.754049,imagery/realsense_overhead/dish_1562169818/rgb.png
dish_1559934679,160.845459,146.0,7.257577,4.518153,18.901001,imagery/realsense_overhead/dish_1559934679/rgb.png
dish_1562698276,434.58316,307.0,16.904676,35.99662,31.992001,imagery/realsense_overhead/dish_1562698276/rgb.png
dish_1558718051,24.25,97.0,0.291,4.85,1.746,imagery/realsense_overhead/dish_1558718051/rgb.png
dish_1560368764,207.098907,270.0,15.165788,14.017039,7.992478,imagery/realsense_overhead/dish_1560368764/rgb.png
dish_1563563317,345.84198,252.0,22.701002,8.312,28.483,imagery/realsense_overhead/dish_1563563317/rgb.png
dish_1565895966,214.544357,287.0,9.93185,16.800755,16.543627,imagery/realsense_overhead/dish_1565895966/rgb.png
dish_1566933226,245.449509,171.0,7.784025,19.447062,22.552277,imagery/realsense_overhead/dish_1566933226/rgb.png
dish_1558458737,41.599998,32.0,0.096,8.96,0.864,imagery/realsense_overhead/dish_1558458737/rgb.png
dish_1561392593,354.044922,325.0,24.260466,19.139467,16.3906,imagery/realsense_overhead/dish_1561392593/rgb.png
dish_1566416421,313.741882,367.0,18.395054,36.646526,12.292887,imagery/realsense_overhead/dish_1566416421/rgb.png
dish_1562009120,95.610138,146.0,5.247729,6.257764,9.354047,imagery/realsense_overhead/dish_1562009120/rgb.png
dish_1560444869,14.040001,39.0,0.039,3.51,0.195,imagery/realsense_overhead/dish_1560444869/rgb.png
dish_1562872365,9.879999,76.0,0.152,1.672,1.14,imagery/realsense_overhead/dish_1562872365/rgb.png
dish_1564773903,316.827545,336.0,16.086779,25.091196,19.580328,imagery/realsense_overhead/dish_1564773903/rgb.png
dish_1563910137,131.283218,141.0,8.903819,11.986854,2.529557,imagery/realsense_overhead/dish_1563910137/rgb.png
dish_1561661347,50.669998,132.0,1.632,7.215,3.426,imagery/realsense_overhead/dish_1561661347/rgb.png
dish_1558721726,74.360001,143.0,0.286,20.02,0.429,imagery/realsense_overhead/dish_1558721726/rgb.png
dish_1566931586,379.380005,389.0,15.281001,15.525999,46.593998,imagery/realsense_overhead/dish_1566931586/rgb.png
dish_1563908923,49.279999,112.0,2.352,4.816,3.584,imagery/realsense_overhead/dish_1563908923/rgb.png
dish_1563552016,493.589081,174.0,19.477127,69.953438,10.739063,imagery/realsense_overhead/dish_1563552016/rgb.png
dish_1562784307,158.518127,157.0,5.112942,24.925295,5.678117,imagery/realsense_overhead/dish_1562784307/rgb.png
dish_1564761388,54.599998,105.0,0.21,0.735,10.5,imagery/realsense_overhead/dish_1564761388/rgb.png
dish_1561576295,249.067139,232.0,16.084234,23.931339,4.035298,imagery/realsense_overhead/dish_1561576295/rgb.png
dish_1562876618,114.336998,43.0,4.042,14.405001,4.816,imagery/realsense_overhead/dish_1562876618/rgb.png
dish_1558722247,604.616028,343.0,43.181,46.771999,21.49,imagery/realsense_overhead/dish_1558722247/rgb.png
dish_1565640427,195.761993,42.0,12.096,20.916,2.604,imagery/realsense_overhead/dish_1565640427/rgb.png
dish_1559841808,73.110001,96.0,0.57,17.379999,1.29,imagery/realsense_overhead/dish_1559841808/rgb.png
dish_1560788349,78.925995,134.0,0.536,4.824,13.400001,imagery/realsense_overhead/dish_1560788349/rgb.png
dish_1566847431,101.240509,90.0,1.923067,17.232075,3.76984,imagery/realsense_overhead/dish_1566847431/rgb.png
dish_1565726812,36.209755,65.0,1.839024,4.439024,1.521951,imagery/realsense_overhead/dish_1565726812/rgb.png
dish_1563996279,98.490021,278.0,1.893741,19.73682,3.910173,imagery/realsense_overhead/dish_1563996279/rgb.png
dish_1558115448,64.860001,94.0,0.188,16.92,0.658,imagery/realsense_overhead/dish_1558115448/rgb.png
dish_1559843030,25.410002,77.0,0.231,6.16,0.539,imagery/realsense_overhead/dish_1559843030/rgb.png
dish_1564073860,492.309998,91.0,38.219997,1.274,33.670002,imagery/realsense_overhead/dish_1564073860/rgb.png
dish_1561739973,295.369995,280.0,16.279999,20.406,16.709999,imagery/realsense_overhead/dish_1561739973/rgb.png
dish_1565811091,504.400024,371.0,17.632,9.06,74.731003,imagery/realsense_overhead/dish_1565811091/rgb.png
dish_1559240441,19.470001,59.0,0.177,4.72,0.413,imagery/realsense_overhead/dish_1559240441/rgb.png
dish_1565984434,319.892303,430.0,12.747005,36.362114,17.977343,imagery/realsense_overhead/dish_1565984434/rgb.png
dish_1563811686,319.428375,331.0,17.312544,25.879768,16.288153,imagery/realsense_overhead/dish_1563811686/rgb.png
dish_1561060925,93.914848,156.0,4.284307,9.30445,8.246765,imagery/realsense_overhead/dish_1561060925/rgb.png
dish_1561663817,95.495369,86.0,4.993594,12.891619,2.099187,imagery/realsense_overhead/dish_1561663817/rgb.png
dish_1566922978,124.32,84.0,9.24,1.344,8.400001,imagery/realsense_overhead/dish_1566922978/rgb.png
dish_1557861216,0.0,1.0,0.0,0.0,0.0,imagery/realsense_overhead/dish_1557861216/rgb.png
dish_1566316587,646.768066,311.0,50.825043,20.937225,26.908691,imagery/realsense_overhead/dish_1566316587/rgb.png
dish_1560367715,597.531189,305.0,26.680105,40.813663,44.518318,imagery/realsense_overhead/dish_1560367715/rgb.png
dish_1561575613,86.411438,70.0,8.211153,2.81841,1.679894,imagery/realsense_overhead/dish_1561575613/rgb.png
dish_1558639266,30.768999,29.0,0.696,6.38,0.899,imagery/realsense_overhead/dish_1558639266/rgb.png
dish_1558723537,14.5,58.0,0.174,2.9,1.044,imagery/realsense_overhead/dish_1558723537/rgb.png
dish_1566317742,154.720001,254.0,2.908,28.464001,5.376,imagery/realsense_overhead/dish_1566317742/rgb.png
